Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Pärnu,"186 000 € 3 598 €/m²
Kuumakse 857 €",2,51.7 m²,2/3,Apartment,For Sale
Pärnu,"475 000 € 4 698 €/m²
Kuumakse 2 188 €",4,101.1 m²,2/3,Apartment,For Sale
Tallinn,"135 000 € 3 125 €/m²
Kuumakse 622 €",2,43.2 m²,2/2,Apartment,For Sale
Tartu,"79 900 € 1 722 €/m²
Kuumakse 368 €",2,46.4 m²,5/5,Apartment,For Sale
Tallinn,"120 000 € 5 405 €/m²
Kuumakse 553 €",1,22.2 m²,1/3,Apartment,For Sale
Tallinn,"650 000 € 5 717 €/m²
Kuumakse 2 994 €",4,113.7 m²,3/3,Apartment,For Sale
Tallinn,"269 000 € 3 503 €/m²
Kuumakse 1 239 €",4,76.8 m²,1/4,Apartment,For Sale
Tartu,"59 000 € 2 122 €/m²
Kuumakse 272 €",2,27.8 m²,2/2,Apartment,For Sale
Pärnu,"69 000 € 1 683 €/m²
Kuumakse 318 €",2,41 m²,5/5,Apartment,For Sale
Tallinn,"159 900 € 2 423 €/m²
Kuumakse 736 €",3,66 m²,3/9,Apartment,For Sale
Tallinn,"400 000 € 4 884 €/m²
Kuumakse 1 842 €",3,81.9 m²,2/3,Apartment,For Sale
Tallinn,"Uus hind
499 000 € 4 887 €/m²
Kuumakse 2 298 €
559 000 €",4,102.1 m²,3/3,Apartment,For Sale
Tallinn,"133 900 € 4 058 €/m²
Kuumakse 617 €",2,33 m²,3/3,Apartment,For Sale
Tallinn,"269 900 € 4 198 €/m²
Kuumakse 1 243 €",3,64.3 m²,2/4,Apartment,For Sale
,"220 000 € 2 696 €/m²
Kuumakse 1 013 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"259 000 € 3 705 €/m²
Kuumakse 1 193 €",3,69.9 m²,4/4,Apartment,For Sale
Tallinn,"694 000 € 5 707 €/m²
Kuumakse 3 196 €",3,121.6 m²,2/3,Apartment,For Sale
Tallinn,"410 000 € 4 284 €/m²
Kuumakse 1 888 €",3,95.7 m²,2/3,Apartment,For Sale
Tallinn,"294 000 € 3 717 €/m²
Kuumakse 1 354 €",4,79.1 m²,1/3,Apartment,For Sale
,"254 900 € 3 385 €/m²
Kuumakse 1 174 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"575 000 € 3 639 €/m²
Kuumakse 2 648 €",3,158 m²,3/4,Apartment,For Sale
Tallinn,"118 800 € 2 977 €/m²
Kuumakse 547 €",2,39.9 m²,4/5,Apartment,For Sale
Tallinn,"Uus hind
299 000 € 3 934 €/m²
Kuumakse 1 377 €
359 000 €",3,76 m²,3/3,Apartment,For Sale
Tallinn,"355 720 € 6 894 €/m²
Kuumakse 1 638 €",3,51.6 m²,4/4,Apartment,For Sale
Tallinn,"239 000 € 3 128 €/m²
Kuumakse 1 101 €",3,76.4 m²,3/3,Apartment,For Sale
Tartu,"106 000 € 2 260 €/m²
Kuumakse 488 €",2,46.9 m²,2/2,Apartment,For Sale
,"165 900 € 2 936 €/m²
Kuumakse 764 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"139 900 € 2 787 €/m²
Kuumakse 644 €",2,50.2 m²,1/3,Apartment,For Sale
Tallinn,"110 000 € 2 153 €/m²
Kuumakse 507 €",2,51.1 m²,3/4,Apartment,For Sale
,"349 900 € 3 958 €/m²
Kuumakse 1 612 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"224 500 € 3 604 €/m²
Kuumakse 1 034 €",3,62.3 m²,2/3,Apartment,For Sale
Pärnu,"250 000 € 3 602 €/m²
Kuumakse 1 151 €",3,69.4 m²,3/3,Apartment,For Sale
Tallinn,"368 000 € 3 936 €/m²
Kuumakse 1 695 €",3,93.5 m²,4/8,Apartment,For Sale
,"219 900 € 2 482 €/m²
Kuumakse 1 013 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"179 000 € 3 978 €/m²
Kuumakse 824 €",2,45 m²,7/8,Apartment,For Sale
Tallinn,"99 000 € 2 297 €/m²
Kuumakse 456 €",2,43.1 m²,1/2,Apartment,For Sale
Tallinn,"Uus hind
329 000 € 3 734 €/m²
Kuumakse 1 515 €
369 000 €",4,88.1 m²,5/5,Apartment,For Sale
Tallinn,"227 000 € 4 460 €/m²
Kuumakse 1 045 €",2,50.9 m²,2/5,Apartment,For Sale
Tallinn,"790 000 € 7 876 €/m²
Kuumakse 3 638 €",3,100.3 m²,1/3,Apartment,For Sale
,"244 900 € 4 215 €/m²
Kuumakse 1 128 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"398 000 € 4 203 €/m²
Kuumakse 1 833 €",3,94.7 m²,3/4,Apartment,For Sale
Pärnu,"143 000 € 1 845 €/m²
Kuumakse 659 €",4,77.5 m²,4/5,Apartment,For Sale
,"295 900 € 3 128 €/m²
Kuumakse 1 363 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"646 100 € 6 500 €/m²
Kuumakse 2 976 €",4,99.4 m²,1/3,Apartment,For Sale
Tallinn,"480 000 € 4 974 €/m²
Kuumakse 2 211 €",4,96.5 m²,1/2,Apartment,For Sale
Tallinn,"218 000 € 7 171 €/m²
Kuumakse 1 004 €",1,30.4 m²,1/3,Apartment,For Sale
Tallinn,"Uus hind
299 000 € 3 761 €/m²
Kuumakse 1 377 €
344 500 €",3,79.5 m²,1/3,Apartment,For Sale
Tallinn,"Uus hind
165 000 € 2 337 €/m²
Kuumakse 760 €
167 000 €",3,70.6 m²,2/6,Apartment,For Sale
Tallinn,"113 000 € 4 201 €/m²
Kuumakse 520 €",1,26.9 m²,2/2,Apartment,For Sale
Pärnu,"114 500 € 1 701 €/m²
Kuumakse 527 €",3,67.3 m²,4/5,Apartment,For Sale
Tallinn,"139 000 € 2 843 €/m²
Kuumakse 640 €",3,48.9 m²,2/4,Apartment,For Sale
Tallinn,"199 900 € 3 219 €/m²
Kuumakse 921 €",3,62.1 m²,2/8,Apartment,For Sale
Viljandi,"91 200 € 1 200 €/m²
Kuumakse 420 €",N/A,76 m²,2/5,Apartment,For Sale
,"309 900 € 3 286 €/m²
Kuumakse 1 427 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"Uus hind
60 000 € 1 875 €/m²
Kuumakse 276 €
63 000 €",1,32 m²,2/3,Apartment,For Sale
Tallinn,"399 000 € 6 303 €/m²
Kuumakse 1 838 €",2,63.3 m²,1/3,Apartment,For Sale
Tallinn,"Uus hind
475 000 € 4 295 €/m²
Kuumakse 2 188 €
529 000 €",4,110.6 m²,2/3,Apartment,For Sale
Tallinn,"124 900 € 2 680 €/m²
Kuumakse 575 €",2,46.6 m²,3/5,Apartment,For Sale
Tallinn,"295 000 € 4 617 €/m²
Kuumakse 1 359 €",2,63.9 m²,N/A,Apartment,For Sale
Tartu,"185 000 € 2 842 €/m²
Kuumakse 852 €",3,65.1 m²,3/4,Apartment,For Sale
Tartu,"289 000 € 3 555 €/m²
Kuumakse 1 331 €",4,81.3 m²,5/8,Apartment,For Sale
Tartu,"215 000 € 3 473 €/m²
Kuumakse 990 €",3,61.9 m²,6/6,Apartment,For Sale
