Town,Price,Amount of Rooms,Surface Area,Floor/Floors,Type,Sale/Rent
Tallinn,"234 000 € 2 609 €/m²
Kuumakse 1 078 €",3,89.7 m²,2/2,Apartment,For Sale
Pärnu,"105 000 € 2 178 €/m²
Kuumakse 484 €",2,48.2 m²,3/5,Apartment,For Sale
Põlva,"32 500 € 783 €/m²
Kuumakse 150 €",2,41.5 m²,1/2,Apartment,For Sale
,"196 000 € 2 414 €/m²
Kuumakse 903 €",N/A,N/A,N/A,Apartment,For Sale
Rakvere,"89 900 € 1 534 €/m²
Kuumakse 414 €",3,58.6 m²,2/3,Apartment,For Sale
Tartu,"119 000 € 2 017 €/m²
Kuumakse 548 €",3,59 m²,2/5,Apartment,For Sale
,"248 000 € 2 658 €/m²
Kuumakse 1 142 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"190 000 € 3 130 €/m²
Kuumakse 875 €",3,60.7 m²,3/7,Apartment,For Sale
,"19 000 € 430 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"149 000 € 2 237 €/m²
Kuumakse 686 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"109 000 € 2 158 €/m²
Kuumakse 502 €",2,50.5 m²,4/5,Apartment,For Sale
,"43 000 € 872 €/m²
Kuumakse 198 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"351 000 € 5 652 €/m²
Kuumakse 1 617 €",2,62.1 m²,4/6,Apartment,For Sale
,"29 500 € 573 €/m²
Kuumakse 136 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"174 900 € 3 294 €/m²
Kuumakse 806 €",3,53.1 m²,1/5,Apartment,For Sale
Tallinn,"626 000 € 5 775 €/m²
Kuumakse 2 883 €",4,108.4 m²,3/3,Apartment,For Sale
Võru,"23 900 € 403 €/m²
Kuumakse 110 €",3,59.3 m²,1/3,Apartment,For Sale
,"37 000 € 584 €/m²
Kuumakse 170 €",N/A,N/A,N/A,Apartment,For Sale
Narva,"42 000 € 640 €/m²
Kuumakse 193 €",3,65.6 m²,1/9,Apartment,For Sale
,"Uus hind
63 900 € 2 905 €/m²
Kuumakse 294 €
65 900 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"124 900 € 3 186 €/m²
Kuumakse 575 €",2,39.2 m²,4/4,Apartment,For Sale
Tapa,"32 900 € 1 295 €/m²
Kuumakse 152 €",1,25.4 m²,3/4,Apartment,For Sale
,"41 900 € 838 €/m²
Kuumakse 193 €",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"349 000 € 4 130 €/m²
Kuumakse 1 607 €",4,84.5 m²,3/3,Apartment,For Sale
Tallinn,"172 000 € 2 642 €/m²
Kuumakse 792 €",2,65.1 m²,4/5,Apartment,For Sale
Tallinn,"399 000 € 4 790 €/m²
Kuumakse 1 838 €",3,83.3 m²,2/5,Apartment,For Sale
Rakvere,"112 500 € 1 838 €/m²
Kuumakse 518 €",3,61.2 m²,4/5,Apartment,For Sale
Tartu,"138 900 € 2 201 €/m²
Kuumakse 640 €",2,63.1 m²,1/3,Apartment,For Sale
,"9 000 € 148 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"18 900 € 371 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"75 000 € 1 913 €/m²
Kuumakse 345 €",2,39.2 m²,1/3,Apartment,For Sale
Tallinn,"999 900 € 6 418 €/m²
Kuumakse 4 605 €",4,155.8 m²,3/3,Apartment,For Sale
Tallinn,"287 000 € 3 450 €/m²
Kuumakse 1 322 €",3,83.2 m²,2/4,Apartment,For Sale
Võru,"79 000 € 1 097 €/m²
Kuumakse 364 €",4,72 m²,8/9,Apartment,For Sale
Tallinn,"339 000 € 3 835 €/m²
Kuumakse 1 561 €",4,88.4 m²,3/4,Apartment,For Sale
Tartu,"80 000 € 2 640 €/m²
Kuumakse 368 €",1,30.3 m²,1/2,Apartment,For Sale
Tallinn,"359 000 € 5 744 €/m²
Kuumakse 1 653 €",2,62.5 m²,3/6,Apartment,For Sale
Tallinn,"249 000 € 3 383 €/m²
Kuumakse 1 147 €",3,73.6 m²,4/5,Apartment,For Sale
Tallinn,"324 900 € 4 139 €/m²
Kuumakse 1 496 €",4,78.5 m²,9/16,Apartment,For Sale
Tallinn,"103 000 € 2 077 €/m²
Kuumakse 474 €",2,49.6 m²,8/9,Apartment,For Sale
Tallinn,"359 900 € 4 373 €/m²
Kuumakse 1 658 €",3,82.3 m²,1/4,Apartment,For Sale
Pärnu,"129 000 € 2 682 €/m²
Kuumakse 594 €",2,48.1 m²,5/5,Apartment,For Sale
Tallinn,"250 000 € 2 139 €/m²
Kuumakse 1 151 €",3,116.9 m²,2/3,Apartment,For Sale
,"221 900 € 3 152 €/m²
Kuumakse 1 022 €",N/A,N/A,N/A,Apartment,For Sale
,"119 999 € 3 243 €/m²
Kuumakse 553 €",N/A,N/A,N/A,Apartment,For Sale
,"36 000 € 835 €/m²
Kuumakse 166 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"237 000 € 4 447 €/m²
Kuumakse 1 092 €",2,53.3 m²,1/4,Apartment,For Sale
Pärnu,"Uus hind
365 000 € 4 249 €/m²
Kuumakse 1 681 €
370 000 €",3,85.9 m²,2/5,Apartment,For Sale
Pärnu,"45 000 € 575 €/m²
Kuumakse 207 €",4,78.2 m²,N/A,Apartment,For Sale
Tallinn,"199 000 € 3 413 €/m²
Kuumakse 917 €",2,58.3 m²,2/5,Apartment,For Sale
Haapsalu,"49 000 € 690 €/m²
Kuumakse 226 €",3,71 m²,3/3,Apartment,For Sale
,"189 000 € 2 677 €/m²
Kuumakse 870 €",N/A,N/A,N/A,Apartment,For Sale
,"22 000 € 462 €/m²
Kuumakse 101 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"119 000 € 1 831 €/m²
Kuumakse 548 €",3,65 m²,4/5,Apartment,For Sale
Tallinn,"159 000 € 4 251 €/m²
Kuumakse 732 €",1,37.4 m²,2/9,Apartment,For Sale
,"17 800 € 461 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tartu,"69 000 € 1 568 €/m²
Kuumakse 318 €",3,44 m²,1/2,Apartment,For Sale
Pärnu,"35 000 € 1 090 €/m²
Kuumakse 161 €",1,32.1 m²,1/3,Apartment,For Sale
,"309 000 € 3 370 €/m²
Kuumakse 1 423 €",N/A,N/A,N/A,Apartment,For Sale
Viljandi,"37 000 € 597 €/m²
Kuumakse 170 €",3,62 m²,1/3,Apartment,For Sale
,"77 900 € 3 387 €/m²
Kuumakse 359 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"118 000 € 2 181 €/m²
Kuumakse 543 €",2,54.1 m²,3/5,Apartment,For Sale
,"170 000 € 2 998 €/m²
Kuumakse 783 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"142 000 € 2 444 €/m²
Kuumakse 654 €",2,58.1 m²,1/4,Apartment,For Sale
Tallinn,"449 000 € 4 692 €/m²
Kuumakse 2 068 €",4,95.7 m²,6/9,Apartment,For Sale
,"81 500 € 1 014 €/m²
Kuumakse 375 €",N/A,N/A,N/A,Apartment,For Sale
,"92 000 € 1 373 €/m²
Kuumakse 424 €",N/A,N/A,N/A,Apartment,For Sale
,"12 600 € 215 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"129 990 € 2 621 €/m²
Kuumakse 599 €",2,49.6 m²,3/9,Apartment,For Sale
Tallinn,"257 000 € 3 888 €/m²
Kuumakse 1 184 €",3,66.1 m²,4/4,Apartment,For Sale
Võru,"14 999 € 311 €/m²
Vaatan kuumakset",2,48.3 m²,1/3,Apartment,For Sale
Tallinn,"449 900 € 6 121 €/m²
Kuumakse 2 072 €",2,73.5 m²,1/3,Apartment,For Sale
,"286 000 € 3 059 €/m²
Kuumakse 1 317 €",N/A,N/A,N/A,Apartment,For Sale
,"47 000 € 1 009 €/m²
Kuumakse 216 €",N/A,N/A,N/A,Apartment,For Sale
Narva,"205 000 € 2 228 €/m²
Kuumakse 944 €",3,92 m²,2/3,Apartment,For Sale
,"22 000 € 449 €/m²
Kuumakse 101 €",N/A,N/A,N/A,Apartment,For Sale
,"9 500 € 255 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"6 000 € 144 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"32 500 € 680 €/m²
Kuumakse 150 €",2,47.8 m²,2/3,Apartment,For Sale
Tallinn,"157 000 € 4 325 €/m²
Kuumakse 723 €",1,36.3 m²,N/A,Apartment,For Sale
Haapsalu,"202 900 € 4 998 €/m²
Kuumakse 934 €",2,40.6 m²,1/3,Apartment,For Sale
Tallinn,"78 000 € 2 364 €/m²
Kuumakse 359 €",1,33 m²,3/9,Apartment,For Sale
,"145 000 € 2 011 €/m²
Kuumakse 668 €",N/A,N/A,N/A,Apartment,For Sale
,"69 900 € 2 020 €/m²
Kuumakse 322 €",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"45 000 € 1 673 €/m²
Kuumakse 207 €",1,26.9 m²,2/5,Apartment,For Sale
Tallinn,"269 000 € 4 686 €/m²
Kuumakse 1 239 €",2,57.4 m²,8/30,Apartment,For Sale
Türi,"22 000 € 444 €/m²
Kuumakse 101 €",3,49.5 m²,2/2,Apartment,For Sale
Tallinn,"125 900 € 1 976 €/m²
Kuumakse 580 €",3,63.7 m²,5/5,Apartment,For Sale
,"67 900 € 1 489 €/m²
Kuumakse 313 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"255 000 € 3 556 €/m²
Kuumakse 1 174 €",3,71.7 m²,2/5,Apartment,For Sale
Tallinn,"129 000 € 3 368 €/m²
Kuumakse 594 €",1,38.3 m²,4/5,Apartment,For Sale
Tallinn,"202 000 € 3 762 €/m²
Kuumakse 930 €",2,53.7 m²,3/8,Apartment,For Sale
Tartu,"170 000 € 2 285 €/m²
Kuumakse 783 €",3,74.4 m²,2/3,Apartment,For Sale
Pärnu,"89 000 € 1 935 €/m²
Kuumakse 410 €",2,46 m²,4/5,Apartment,For Sale
Pärnu,"159 900 € 2 434 €/m²
Kuumakse 736 €",3,65.7 m²,2/5,Apartment,For Sale
Tallinn,"134 900 € 5 188 €/m²
Kuumakse 621 €",1,26 m²,3/4,Apartment,For Sale
Tallinn,"265 000 € 4 071 €/m²
Kuumakse 1 220 €",3,65.1 m²,11/14,Apartment,For Sale
,"38 500 € 664 €/m²
Kuumakse 177 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"109 000 € 1 693 €/m²
Kuumakse 502 €",3,64.4 m²,4/5,Apartment,For Sale
Tartu,"79 900 € 1 700 €/m²
Kuumakse 368 €",2,47 m²,5/9,Apartment,For Sale
,"9 800 € 204 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"24 000 € 515 €/m²
Kuumakse 111 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"215 000 € 3 413 €/m²
Kuumakse 990 €",3,63 m²,6/6,Apartment,For Sale
Tallinn,"96 000 € 2 060 €/m²
Kuumakse 442 €",2,46.6 m²,1/5,Apartment,For Sale
Tallinn,"115 000 € 3 464 €/m²
Kuumakse 530 €",2,33.2 m²,1/5,Apartment,For Sale
,"9 000 € 151 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"110 000 € 2 821 €/m²
Kuumakse 507 €",2,39 m²,3/5,Apartment,For Sale
Tallinn,"499 900 € 6 393 €/m²
Kuumakse 2 302 €",3,78.2 m²,3/3,Apartment,For Sale
Paide,"59 000 € 1 180 €/m²
Kuumakse 272 €",2,50 m²,1/5,Apartment,For Sale
Tallinn,"170 000 € 4 722 €/m²
Kuumakse 783 €",1,36 m²,2/8,Apartment,For Sale
,"630 000 € 3 458 €/m²
Kuumakse 2 902 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"369 313 € 3 610 €/m²
Kuumakse 1 701 €",4,102.3 m²,2/7,Apartment,For Sale
,"32 000 € 522 €/m²
Kuumakse 147 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"479 000 € 4 678 €/m²
Kuumakse 2 206 €",4,102.4 m²,2/3,Apartment,For Sale
Pärnu,"139 900 € 2 861 €/m²
Kuumakse 644 €",2,48.9 m²,1/3,Apartment,For Sale
Tallinn,"110 000 € 1 821 €/m²
Kuumakse 507 €",4,60.4 m²,3/5,Apartment,For Sale
Tallinn,1 € 0.03 €/m²,2,30 m²,2/5,Apartment,For Sale
,"72 000 € 1 910 €/m²
Kuumakse 332 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"52 500 € 4 375 €/m²
Kuumakse 242 €",1,12 m²,N/A,Apartment,For Sale
Tallinn,"95 000 € 2 159 €/m²
Kuumakse 438 €",2,44 m²,5/5,Apartment,For Sale
Tallinn,"199 000 € 3 879 €/m²
Kuumakse 917 €",2,51.3 m²,7/8,Apartment,For Sale
Tartu,"89 000 € 1 670 €/m²
Kuumakse 410 €",2,53.3 m²,1/5,Apartment,For Sale
Tapa,"41 000 € 860 €/m²
Kuumakse 189 €",2,47.7 m²,3/5,Apartment,For Sale
Tallinn,"325 000 € 4 167 €/m²
Kuumakse 1 497 €",3,78 m²,8/8,Apartment,For Sale
Viljandi,"79 000 € 2 079 €/m²
Kuumakse 364 €",2,38 m²,2/2,Apartment,For Sale
Tallinn,"159 000 € 2 380 €/m²
Kuumakse 732 €",3,66.8 m²,9/9,Apartment,For Sale
,"47 000 € 1 175 €/m²
Kuumakse 216 €",N/A,N/A,N/A,Apartment,For Sale
Viljandi,"69 000 € 1 478 €/m²
Kuumakse 318 €",2,46.7 m²,2/5,Apartment,For Sale
Tartu,"Uus hind
153 000 € 2 849 €/m²
Kuumakse 705 €
155 000 €",3,53.7 m²,2/2,Apartment,For Sale
,"41 000 € 872 €/m²
Kuumakse 189 €",N/A,N/A,N/A,Apartment,For Sale
,"49 500 € 784 €/m²
Kuumakse 228 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"122 000 € 2 480 €/m²
Kuumakse 562 €",2,49.2 m²,1/5,Apartment,For Sale
,"94 999 € 1 874 €/m²
Kuumakse 438 €",N/A,N/A,N/A,Apartment,For Sale
Rakvere,"159 900 € 3 311 €/m²
Kuumakse 736 €",2,48.3 m²,1/4,Apartment,For Sale
Tartu,"115 000 € 1 825 €/m²
Kuumakse 530 €",3,63 m²,2/5,Apartment,For Sale
Tallinn,"259 900 € 2 862 €/m²
Kuumakse 1 197 €",3,90.8 m²,6/6,Apartment,For Sale
,"26 500 € 621 €/m²
Kuumakse 122 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"389 000 € 4 981 €/m²
Kuumakse 1 792 €",3,78.1 m²,1/3,Apartment,For Sale
Tallinn,"101 000 € 2 577 €/m²
Kuumakse 465 €",2,39.2 m²,2/4,Apartment,For Sale
,"34 000 € 636 €/m²
Kuumakse 157 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"379 000 € 5 199 €/m²
Kuumakse 1 746 €",3,72.9 m²,3/4,Apartment,For Sale
Tallinn,"112 000 € 2 440 €/m²
Kuumakse 516 €",2,45.9 m²,5/5,Apartment,For Sale
Tallinn,"200 000 € 3 861 €/m²
Kuumakse 921 €",2,51.8 m²,3/3,Apartment,For Sale
,"146 400 € 3 606 €/m²
Kuumakse 674 €",N/A,N/A,N/A,Apartment,For Sale
,"19 000 € 208 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"10 000 € 200 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"5 000 € 115 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"43 000 € 652 €/m²
Kuumakse 198 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"145 000 € 4 647 €/m²
Kuumakse 668 €",1,31.2 m²,2/5,Apartment,For Sale
Tartu,"426 000 € 2 288 €/m²
Kuumakse 1 962 €",4,186.2 m²,N/A,Apartment,For Sale
Pärnu,"300 000 € 3 891 €/m²
Kuumakse 1 382 €",3,77.1 m²,5/15,Apartment,For Sale
,"25 500 € 654 €/m²
Kuumakse 117 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"83 000 € 2 075 €/m²
Kuumakse 382 €",1,40 m²,1/3,Apartment,For Sale
,"17 500 € 343 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
,"335 000 € 3 556 €/m²
Kuumakse 1 543 €",N/A,N/A,N/A,Apartment,For Sale
Viljandi,"58 000 € 946 €/m²
Kuumakse 267 €",3,61.3 m²,7/9,Apartment,For Sale
Pärnu,"220 000 € 5 000 €/m²
Kuumakse 1 013 €",2,44 m²,4/6,Apartment,For Sale
,"153 400 € 3 903 €/m²
Kuumakse 707 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"198 000 € 4 510 €/m²
Kuumakse 912 €",2,43.9 m²,6/8,Apartment,For Sale
Narva,"18 500 € 460 €/m²
Vaatan kuumakset",2,40.2 m²,4/4,Apartment,For Sale
Tartu,"320 000 € 4 611 €/m²
Kuumakse 1 474 €",3,69.4 m²,1/2,Apartment,For Sale
Tallinn,"249 400 € 4 636 €/m²
Kuumakse 1 149 €",2,53.8 m²,1/4,Apartment,For Sale
,"140 000 € 1 882 €/m²
Kuumakse 645 €",N/A,N/A,N/A,Apartment,For Sale
Viljandi,"39 900 € 407 €/m²
Kuumakse 184 €",4,98 m²,1/3,Apartment,For Sale
Pärnu,"59 900 € 1 465 €/m²
Kuumakse 276 €",2,40.9 m²,1/2,Apartment,For Sale
,"175 000 € 2 696 €/m²
Kuumakse 806 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"89 000 € 2 324 €/m²
Kuumakse 410 €",2,38.3 m²,3/5,Apartment,For Sale
Pärnu,"9 900 € 148 €/m²
Vaatan kuumakset",3,66.9 m²,1/3,Apartment,For Sale
Tallinn,"439 000 € 3 976 €/m²
Kuumakse 2 022 €",4,110.4 m²,4/5,Apartment,For Sale
Võru,"35 000 € 748 €/m²
Kuumakse 161 €",2,46.8 m²,2/5,Apartment,For Sale
Võru,"18 000 € 287 €/m²
Vaatan kuumakset",3,62.7 m²,1/3,Apartment,For Sale
Tallinn,"249 000 € 5 332 €/m²
Kuumakse 1 147 €",2,46.7 m²,1/3,Apartment,For Sale
Tallinn,"385 000 € 5 978 €/m²
Kuumakse 1 773 €",2,64.4 m²,3/5,Apartment,For Sale
Tallinn,"239 000 € 6 584 €/m²
Kuumakse 1 101 €",2,36.3 m²,1/4,Apartment,For Sale
Pärnu,"144 900 € 2 524 €/m²
Kuumakse 667 €",3,57.4 m²,3/5,Apartment,For Sale
Tallinn,"278 000 € 3 692 €/m²
Kuumakse 1 280 €",3,75.3 m²,3/6,Apartment,For Sale
Tallinn,"154 900 € 4 339 €/m²
Kuumakse 713 €",2,35.7 m²,2/2,Apartment,For Sale
Tartu,"Uus hind
55 000 € 1 486 €/m²
Kuumakse 253 €
59 900 €",2,37 m²,1/2,Apartment,For Sale
Tallinn,"96 900 € 2 991 €/m²
Kuumakse 446 €",2,32.4 m²,2/2,Apartment,For Sale
Tallinn,"679 900 € 5 299 €/m²
Kuumakse 3 131 €",3,128.3 m²,2/3,Apartment,For Sale
Rakvere,"17 000 € 630 €/m²
Vaatan kuumakset",1,27 m²,2/5,Apartment,For Sale
,"199 000 € 2 704 €/m²
Kuumakse 917 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"399 000 € 3 982 €/m²
Kuumakse 1 838 €",3,100.2 m²,3/3,Apartment,For Sale
Tallinn,"110 000 € 3 188 €/m²
Kuumakse 507 €",2,34.5 m²,N/A,Apartment,For Sale
,"62 000 € 954 €/m²
Kuumakse 286 €",N/A,N/A,N/A,Apartment,For Sale
,"31 500 € 536 €/m²
Kuumakse 145 €",N/A,N/A,N/A,Apartment,For Sale
,"70 500 € 1 478 €/m²
Kuumakse 325 €",N/A,N/A,N/A,Apartment,For Sale
Võru,"50 000 € 1 269 €/m²
Kuumakse 230 €",2,39.4 m²,2/2,Apartment,For Sale
Tartu,"114 000 € 1 740 €/m²
Kuumakse 525 €",3,65.5 m²,9/9,Apartment,For Sale
,"299 000 € 2 776 €/m²
Kuumakse 1 377 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"129 900 € 1 998 €/m²
Kuumakse 598 €",3,65 m²,8/9,Apartment,For Sale
,"179 900 € 2 718 €/m²
Kuumakse 829 €",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"74 500 € 1 905 €/m²
Kuumakse 343 €",2,39.1 m²,4/4,Apartment,For Sale
Tallinn,"524 900 € 5 566 €/m²
Kuumakse 2 418 €",4,94.3 m²,4/4,Apartment,For Sale
Tallinn,"92 000 € 1 746 €/m²
Kuumakse 424 €",2,52.7 m²,4/5,Apartment,For Sale
Pärnu,"280 000 € 5 680 €/m²
Kuumakse 1 290 €",2,49.3 m²,4/5,Apartment,For Sale
Tallinn,"186 000 € 2 480 €/m²
Kuumakse 857 €",3,75 m²,1/5,Apartment,For Sale
Haapsalu,"347 900 € 3 994 €/m²
Kuumakse 1 602 €",4,87.1 m²,1/2,Apartment,For Sale
Tallinn,"575 000 € 5 952 €/m²
Kuumakse 2 648 €",4,96.6 m²,9/13,Apartment,For Sale
Tartu,"104 000 € 2 114 €/m²
Kuumakse 479 €",2,49.2 m²,2/5,Apartment,For Sale
,"89 900 € 1 857 €/m²
Kuumakse 414 €",N/A,N/A,N/A,Apartment,For Sale
,"18 000 € 256 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"299 900 € 4 916 €/m²
Kuumakse 1 381 €",2,61 m²,2/3,Apartment,For Sale
,"120 000 € 2 286 €/m²
Kuumakse 553 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"196 000 € 4 016 €/m²
Kuumakse 903 €",2,48.8 m²,2/4,Apartment,For Sale
Tallinn,"108 000 € 2 483 €/m²
Kuumakse 497 €",2,43.5 m²,3/5,Apartment,For Sale
Tartu,"115 000 € 2 805 €/m²
Kuumakse 530 €",2,41 m²,1/2,Apartment,For Sale
Pärnu,"129 000 € 1 972 €/m²
Kuumakse 594 €",3,65.4 m²,2/5,Apartment,For Sale
Tallinn,"379 000 € 3 887 €/m²
Kuumakse 1 746 €",3,97.5 m²,1/3,Apartment,For Sale
Tallinn,"213 500 € 4 504 €/m²
Kuumakse 983 €",2,47.4 m²,2/5,Apartment,For Sale
Tallinn,"167 900 € 3 535 €/m²
Kuumakse 773 €",2,47.5 m²,1/4,Apartment,For Sale
Pärnu,"174 000 € 4 000 €/m²
Kuumakse 801 €",2,43.5 m²,2/4,Apartment,For Sale
Tallinn,"113 500 € 3 328 €/m²
Kuumakse 523 €",2,34.1 m²,5/5,Apartment,For Sale
Tallinn,"198 900 € 2 759 €/m²
Kuumakse 916 €",3,72.1 m²,3/4,Apartment,For Sale
,"36 900 € 707 €/m²
Kuumakse 170 €",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"300 000 € 3 736 €/m²
Kuumakse 1 382 €",3,80.3 m²,4/8,Apartment,For Sale
,"234 900 € 3 532 €/m²
Kuumakse 1 082 €",N/A,N/A,N/A,Apartment,For Sale
,"171 000 € 3 270 €/m²
Kuumakse 788 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"415 000 € 3 821 €/m²
Kuumakse 1 911 €",5,108.6 m²,1/3,Apartment,For Sale
Tallinn,"105 000 € 2 901 €/m²
Kuumakse 484 €",2,36.2 m²,4/4,Apartment,For Sale
Pärnu,"87 000 € 1 419 €/m²
Kuumakse 401 €",2,61.3 m²,2/3,Apartment,For Sale
,"22 000 € 361 €/m²
Kuumakse 101 €",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"52 000 € 2 889 €/m²
Kuumakse 239 €",1,18 m²,2/2,Apartment,For Sale
,"34 800 € 429 €/m²
Kuumakse 160 €",N/A,N/A,N/A,Apartment,For Sale
Tartu,"28 000 € 477 €/m²
Kuumakse 129 €",3,58.7 m²,1/2,Apartment,For Sale
Tallinn,"237 600 € 2 970 €/m²
Kuumakse 1 094 €",4,80 m²,1/2,Apartment,For Sale
Tallinn,"249 000 € 3 383 €/m²
Kuumakse 1 147 €",3,73.6 m²,4/5,Apartment,For Sale
Tartu,"120 000 € 1 840 €/m²
Kuumakse 553 €",3,65.2 m²,7/9,Apartment,For Sale
Pärnu,"260 000 € 4 952 €/m²
Kuumakse 1 197 €",2,52.5 m²,2/2,Apartment,For Sale
Rakvere,"184 900 € 3 002 €/m²
Kuumakse 852 €",3,61.6 m²,3/4,Apartment,For Sale
Tallinn,"212 000 € 3 855 €/m²
Kuumakse 976 €",2,55 m²,4/4,Apartment,For Sale
,"8 500 € 184 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Tallinn,"124 900 € 3 211 €/m²
Kuumakse 575 €",2,38.9 m²,5/5,Apartment,For Sale
Tallinn,"199 900 € 4 355 €/m²
Kuumakse 921 €",2,45.9 m²,1/3,Apartment,For Sale
Pärnu,"280 000 € 5 119 €/m²
Kuumakse 1 290 €",2,54.7 m²,2/2,Apartment,For Sale
,"12 000 € 375 €/m²
Vaatan kuumakset",N/A,N/A,N/A,Apartment,For Sale
Pärnu,"160 000 € 2 395 €/m²
Kuumakse 737 €",3,66.8 m²,1/3,Apartment,For Sale
Pärnu,"31 900 € 331 €/m²
Kuumakse 147 €",4,96.3 m²,2/2,Apartment,For Sale
Tallinn,"175 000 € 4 177 €/m²
Kuumakse 806 €",2,41.9 m²,2/2,Apartment,For Sale
Tallinn,"118 000 € 2 987 €/m²
Kuumakse 543 €",2,39.5 m²,3/4,Apartment,For Sale
Tallinn,"315 000 € 4 709 €/m²
Kuumakse 1 451 €",2,66.9 m²,2/3,Apartment,For Sale
Tallinn,"500 000 € 3 551 €/m²
Kuumakse 2 303 €",5,140.8 m²,N/A,Apartment,For Sale
Pärnu,"29 000 € 587 €/m²
Kuumakse 134 €",2,49.4 m²,2/2,Apartment,For Sale
,"90 000 € 1 119 €/m²
Kuumakse 415 €",N/A,N/A,N/A,Apartment,For Sale
Võru,"24 900 € 773 €/m²
Kuumakse 115 €",2,32.2 m²,1/3,Apartment,For Sale
Tallinn,"148 000 € 2 246 €/m²
Kuumakse 682 €",3,65.9 m²,6/9,Apartment,For Sale
Tallinn,"129 999 € 2 621 €/m²
Kuumakse 599 €",2,49.6 m²,8/9,Apartment,For Sale
Rakvere,"44 000 € 880 €/m²
Kuumakse 203 €",3,50 m²,3/5,Apartment,For Sale
Tartu,"115 000 € 1 837 €/m²
Kuumakse 530 €",3,62.6 m²,2/5,Apartment,For Sale
Paide,"82 000 € 3 048 €/m²
Kuumakse 378 €",1,26.9 m²,1/3,Apartment,For Sale
Tartu,"69 900 € 2 589 €/m²
Kuumakse 322 €",1,27 m²,1/5,Apartment,For Sale
Narva,"24 900 € 750 €/m²
Kuumakse 115 €",1,33.2 m²,3/5,Apartment,For Sale
,"42 000 € 689 €/m²
Kuumakse 193 €",N/A,N/A,N/A,Apartment,For Sale
Haapsalu,"90 000 € 2 074 €/m²
Kuumakse 415 €",2,43.4 m²,3/3,Apartment,For Sale
Tartu,"104 000 € 1 598 €/m²
Kuumakse 479 €",3,65.1 m²,2/9,Apartment,For Sale
,"134 900 € 2 029 €/m²
Kuumakse 621 €",N/A,N/A,N/A,Apartment,For Sale
Võru,"125 000 € 2 080 €/m²
Kuumakse 576 €",3,60.1 m²,3/3,Apartment,For Sale
Tallinn,"235 000 € 3 456 €/m²
Kuumakse 1 082 €",3,68 m²,5/7,Apartment,For Sale
